source,target
ManchesterElla,LaddClarence
ManchesterMark,BeckerMax
MandanGrant,DeeBetty
ManheimMiller,AlleynCarolyn
MansonCortez,BuffetteRachel
MarcusBradley,LangdonAndrew
MarcusBradley,LangdonCharles
MarcusBradley,ArmstrongPearl
MarcusBradley,LangdonDerrick
MarcusBradley,BarrettAntoine
MarcusBradley,BradleyCharlie
MarcusBradley,HowePhilip
MarcusBradley,DeauvilleJean
MarcusBradley,GibbsJulie
MarionJoe,AlleynDylan
MarkessQueenie,AndrewsAlice
MarksLynette,LansburyRobert
MarshakDarrell,LaramoreErin
MarshakRuby,LashlyHerb
MarshakRuby,LaurencePete
MarshakRuby,LawrenceAmos
MarshakRuby,LaramoreErin
MarshakRuby,LansburyRobert
MarshakWayne,HarriganKieran
MartinAlan,BurnleyAaron
MartinGeorge,BurnsDarian
MartinJerry,BordersDylan
MartinezAngel,HemphillBud
MasonAmanda,HoweMadelaine
MasonWillis,HenleyDmitri
MastersHelen,KirbyGabrielle
MastersTom,BowlesDiana
MastersTom,ComptonJack
MayCharlie,LawrenceRobbie
MayCharlie,LeahyCelia
MayCharlie,DicksonCatherine
McCainMike,LeahyDonal
McCainMike,LeahyMick
McCannEddie,HoweRuth
McCannEddie,LeeCrystal
McCannEddie,LeeTwon
McCannEddie,LeighCrystal
McCannEddie,LinkMable
McCannEddie,BarryKyle
McCannEddie,BartelsAmy
McCannEddie,BatistaCharonne
McCannEddie,BeckerIsabel
McCannEddie,LiptonPaul
McCannEddie,GreenDora
McConnellPhyllis,LittleJake
McConnellPhyllis,LittleJessie
McConnellPhyllis,CaneArlen
McConnellPhyllis,GliddenMarcia
McLeodMatt,KeysLinda
MenardJack,BrassManuel
MerrickCarter,HiltonMichael
MichaelsHector,HenleyDmitri
MichaelsLisa,BallMarvin
MilburnJohn,LivingstonMary
MillerBradford,ChandlerSusie
MillerJeff,BillingsleyTerry
MillerMilo,GlassRonnie
MillerMilo,LinkMable
MillerTommy,BensonLouis
MillerWynton,DanielsRandy
Miller Reuben,BensonLouis
MinionMaggie,ArmandeBrian
MintonCorey,HiltonChris
MitchellGabrielle,KinneyDiane
MitchellGrant,LockePamela
MitchellGrant,CullomRita
MitchellGrant,CulpepperIris
MitchellGrant,JamiesonLilly
MitchellGrant,LoftonJames
MitchellGrant,JayRayquan
MitchellGrant,CulpepperWarren
MitchellGrant,BryantCarol
MitchellGrant,CurtisGlenda
MitchellGrant,LondonBaxter
MitchellLisa,LondonRay
MitchellLisa,LongDanny
MobleyLyle,CurtisMyles
MobleyLyle,LawrenceAmos
MobleyLyle,CulpepperWarren
MobleyLyle,LordsWayne
MobleyLyle,HendersonWillie
MobleyLyle,BryantCarol
"Mobley,Jr.Lester",LoweBrian
"Mobley,Sr.Lester",LowellConrad
MontgomeryDylan,DalyTim
MontgomeryDylan,LucasCalvin
MontgomeryDylan,BenderCarlos
MontgomeryDylan,DavisAaron
MontgomeryDylan,BartonGermal
MooreTerry,DelaneyCarlotta
MorganDon,GliddenDiana
MorisseyGavin,BledsoeDonna
MorlandKate,MaddenEric
MorrisEvan,DelaneyCarlotta
MosleyWillard,BlackRicky
MossEd,MaddoxThelma
MossEd,GeorgeBuster
MossEd,MadisonDennis
MossSophie,BallMarvin
MoweElwood,BallMarvin
MuldoonAlex,DeeBetty
MuldoonJoe,GleesonMatt
MullinsMarv,MadisonSonny
MunsonKaty,MageeGinny
MunsonKaty,AsherJames
MunsonKaty,BecketAlice
MunsonKaty,MadisonSonny
MunsonKaty,ByrneKevin
MunsonKaty,KillianGeorge
MunsonKaty,BensonAndrew
MyersRandy,BoydKatie
MyersRicky,LakinQuincy
NaderChip,ElliottRed
NanceBenny,DerbyTammy
NeelyBrian,DalyCarl
NeelyColin,IvieByron
NelsonFelix,BarretScott
NelsonJenny,ArthurDean
NelsonMamie,HiltonChris
NielsonColleen,GideonMario
NoblesCary,GrantKaren
NorrisClayton,MaguireRaymond
NorrisClayton,MailerLucas
NorthTess,ChampionWes
O'BrienAntoine,AlleynDylan
O'BrienAntoine,LoweBrian
O'BrienJeff,LoweBrian
O'MalleyBilly,FranklinRegina
O'MalleyConor,BarrettAntoine
OneilLinda,MailerMary
OneilLinda,BlodgettLucas
OneilLinda,IvyRenata
OwensAndrew,BaconFrancis
OwensAndrew,BallMelvin
PakulaNan,BeckerMax
PalmerKristy,BarkerQuincy
PalmerTitus,BerkleyCallie
ParkerByron,LaurencePete
ParkerByron,LawrenceAmos
ParkerByron,LordsWayne
ParkerByron,MajorsLeslie
ParkerByron,ManchesterElla
ParkerByron,HendersonWillie
ParkerByron,BryantCarol
ParkerSam,KinnardJeff
ParkerSebastian,LashlyHerb
PattersonJohn,KillianMary
PaulKenneth,DanielsRandy
PaulsonBrenda,CrandallNed
PaulsonBrenda,FieldsWalter
PaulsonBrenda,KiplingRobert
PaulsonBrenda,LeeTwon
PaulsonBrenda,KillianMary
PaulsonLee,AngellDiana
PaulsonRichard,EdwardsKim
PayneJulie,BensonAndrew
PennPoindexter,ManchesterMark
PepinLorraine,BaconFrancis
PerkinsGeorge,MandanGrant
PerkinsNathan,KatzLuella
PerkinsNathan,ButlerKay
PerkinsNathan,HolleyBuster
PerkinsScott,EllisSedge
PerryFrank,HopkinsBurton
PerryJoe,ArmandeBrian
PerryZachariah,DrakeBurton
PetersAdrian,CoxJaimie
PetersBarnabas,CoxJaimie
PetersHypatia,ConwaySamantha
PetersTrish,ManheimMiller
PetersTrish,FaulkDavid
PetersTrish,FaulkSteve
PetersTrish,MansonCortez
PetersTrish,MarcusBradley
PetersTrish,HawkinsDavid
PetersTrish,HayesElla
PetersTrish,MarionJoe
PetersTrish,HayesIris
PfizerAngela,ColeHarry
PhillipsPat,HarriganKieran
PilotBrenda,ArmstrongPearl
PinkertonDaniel,MarkessQueenie
PintaMimi,EasterlyTyrone
Pinza Emilio,DelaneyRoberta
PiperMary,KeysLinda
PippinsJeffrey,MarksLynette
PippinsJeffrey,GorhamBilly
PippinsJeffrey,ElderKerry
PippinsJeffrey,MarshakDarrell
PitneyRoy,KillianMary
PittDonna,ConklinShelley
PlunkettMary,AndrewsAlice
PointerGlenn,BulwerJames
PointerKevin,KillianMarcus
PooleAmbrose,BarrettAntoine
PooleRandy,BendixJerryLee
PooleRosa,AlleynCarolyn
PorterRoscoe,CallieSharon
PotterAntonio,CraigRoger
PottsWesley,GleesonMatt
PowellAnne,GillisJohnson
PowellCyndi,BendixSharon
PowellCyndi,LoweBrian
PowellCyndi,JuddRoger
PowellGeorge,BrassManuel
PowersAdair,GivensSherry
PowersErnest,ChambersGina
PowersGwen,GideonMario
PowersKenrick,FishburnKerry
PrattJames,FergusJoe
PryceAbraham,AndrewsAlice
PurcellGreg,CarpenterLonnie
PurlGreg,MarshakRuby
PushkinJudy,GideonMario
PyleOmar,MarshakWayne
QuaidRyan,CarrollMegan
QuailRodney,EarlChanda
QuillGraham,MartinAlan
QuincyMike,HopkinsBurton
QuinnRodney,DanielsRandy
RamseyBob,CoxJaimie
RandallWilliam,BosticDan
ReddickJohn,BlodgettLucas
ReedKelvin,ConorArthur
ReedKelvin,CooperAndrew
ReeseBelinda,CooperAndrew
ReeseBelinda,GilliganErin
RennerCarl,MartinGeorge
RennerLynette,CandyCarol
RennerLynette,BerberPhilippe
RennerLynette,MartinJerry
ResnickFelix,BradleyCharlie
ResnickFelix,GodfreyRhonda
RevelleErskine,BendixLaToya
RhodesGarrett,BosticDan
RichardsAidan,ElliottRed
"Richardson, Jr.Luke",BrownReggie
RiddleyEric,MartinezAngel
RiddleyEric,MasonAmanda
RiddleyEric,MartinGeorge
RiddleyEric,KetterPercy
RiddleyEric,HarriganKieran
RobbinsKevin,JohnstonJustin
RobbinsTom,BobbseyPenelope
RobbinsTorey,IvieCaldwell
RobertsAntoine,JohnstonJustin
RobertsBuddy,ArmstrongPearl
RobertsJason,ArthurDean
RodriquezSantos,MarshakRuby
RodriquezSantos,BradleyBill
RogersKaren,GorhamStella
RogersKerry,BosticDan
RooseveltDre,GilliganRandy
RooseveltDre,ConorArthur
RosenHenry,FraleyLee
RoushLeyla,GunnersonLyndon
RunyonPaul,JohnstonJustin
RussellErin,LaneBecky
RussellGreg,BlackRuth
RyanLesley,DysonBert
SamuelLyle,GillisJohnson
SamuelLyle,KinneyDiane
SamuelLyle,DysonBert
SamuelLyle,CarterCalvin
SamuelLyle,CarterFreddie
SamuelLyle,CarterRuby
SamuelLyle,BlodgettFaith
SamuelLyle,CarusoMario
SamuelLyle,MasonWillis
SandersonAmy,AdamsCurtis
SandersonKatie,AlleynDylan
SandersonMark,MastersHelen
SandersonMark,BuffetteRachel
SandersonStuart,MastersTom
SandersonStuart,JamesSara
SandersonStuart,MayCharlie
SargentDaniel,McCainMike
SargentDaniel,HendersonGary
SaxeGina,AlleynDylan
SchmitzStella,LoweBrian
SchmitzStella,GarnerMickey
ScottDonal,MageeGinny
ScottJefrey,CoxJaimie
SellersDoris,CoxJaimie
SharifLetitia,EarlChanda
ShawAmanda,HarrisonRobert
ShawMable,ChildersBennett
ShawMelissa,ChildersBennett
ShermanAmos,GibsonTed
ShermanDarwin,BookCharles
ShermanThaddeus,GrantHarry
ShermanThaddeus,JacksonBrendan
SherrodHarry,BlackRicky
ShipleyCarol,FishburnKerry
SilversKerry,BrillKevin
SimmsPorter,McCannEddie
SimmsPorter,McConnellPhyllis
SimmsPorter,ChanningBoris
SimmsPorter,FaustMeg
SimpkinsBrenda,GrantHarry
SimpkinsBrenda,McCannEddie
SimpkinsBrenda,McConnellPhyllis
SimpkinsBrenda,GliddenDiana
SimpkinsBrenda,GormleyAndy
SimpsonAdella,GrantHarry
SimpsonBart,BevinsJohn
SimpsonCarolyn,BrassManuel
SimpsonPetey,McLeodMatt
SinclairJanice,FrasierCalvin
SinclairJanice,JohnstonJustin
SinclairJanice,McLeodMatt
SinclairMarjorie,KinneyDiane
SinclairMartin,KinneyDiane
SlatteryKelvin,BarronPhoebe
SlatteryMaurice,MenardJack
SlatteryMaurice,AngellDiana
SlatteryMaurice,HarteNicki
SlatteryMaurice,MerrickCarter
SlatteryMaurice,CottonJo
SlatteryMaurice,MichaelsHector
SlatteryMaurice,CheathamMaurice
SmallPercy,HolmesMort
SmithAnthony,ManheimMiller
SmithAnthony,MichaelsLisa
SmithArthur,BrillEzekial
SmithJanice,AbramsChad
SmithMichaelThomas,BradleyCharlie
SmithMichaelThomas,MilburnJohn
SmithMichaelThomas,JosephReggie
SmithMichaelThomas,FilmoreDean
SmithMichaelThomas,HoltEddie
SmithMichaelThomas,JuddJulius
SmithMichaelThomas,CarsonBarbi
SmithMichaelThomas,MillerBradford
SmithMichaelThomas,BryantCarol
SmithMichaelThomas,MillerJeff
SmithMichaelThomas,KarstenMae
SmithVictoria,HenleyThaddeus
SmithVictoria,MillerMilo
SmithVictoria,LowellConrad
SmithVictoria,MillerTommy
SmithVictoria,MasonAmanda
SmithVictoria,HenryJoseph
SmithVictoria,HerbertJason
SmithVictoria,MillerWynton
SmithVictoria,Miller Reuben
SmothersFreddie,BecketAlice
SnyderBill,ChampionWes
SnyderJoanie,ChampionWes
SorrellKeith,DwyerBart
SpeckVictoria,BrassManuel
SpencerSeth,MinionMaggie
SpencerSeth,LowellConrad
SpinnerJudy,HerbertJason
SpitzLouis,JeffersonBarbi
SpragueShirley,MintonCorey
SpringerWilliam,MitchellGabrielle
SprintMelody,CrawfordJim
SquiresJames,MitchellGabrielle
SquiresJanet,CollinsMartha
SquiresMark,AlexanderTrina
StackBarbara,BensonAndrew
StanleyMaurice,IlerWilliam
SteeleKurt,CanelliTony
SteeleRaymond,BarkerQuincy
SteinerCatherine,MitchellGrant
SteinerCatherine,BendixSharon
SteinerCatherine,JosephReggie
SteinerCatherine,MitchellLisa
SteinerCatherine,MailerMary
SteinerCatherine,BookCharles
SteinerCatherine,CarsonBarbi
SteinerCatherine,BuschAndrew
SteinerCatherine,MobleyLyle
SteinerCatherine,BryantCarol
SteinerCatherine,JuddRoger
SteinerCatherine,KenneyMarcus
StepneyGladys,AbramsRichard
StevensRico,GreenDora
StevensonChanda,MandanGrant
StevensonMike,GradyAlice
StevensonMike,KeysLinda
StevensonMike,BuffetteRachel
StewartRob,KeysLinda
StithBrendon,GradyAlice
StithCarlton,CollinsRuben
StithDerrick,MitchellGabrielle
StithDerrick,"Mobley,Jr.Lester"
StithDerrick,FrostAlice
StockardSue,KiplingerLisa
StoneRobert,GibbsJulie
StoneSylvia,ChampionWes
StuartGrady,HopkinsJody
SuffolkNicole,GreenMason
SummersLana,ButlerKay
SummersLana,FitzDanny
SummersLana,CarrVirginia
SummersLana,FremontLinda
SummersLana,"Mobley,Sr.Lester"
SummersLana,CollinsAdrienne
SummersLana,KenneyMarcus
SummersLana,FindlayGary
SummersWade,FergusJoe
SwiftMaurice,HopkinsBurton
SwiftMaurice,HopkinsJody
TandyAmos,HooperFrieda
TateCarol,GraftonDon
TateRoger,DicksonCatherine
TattersallAngeline,GliddenStan
TatumAnna,ArthurDean
TatumAnna,EdwardsSeamus
TatumAnna,CavanaughCelia
TatumAnna,GivensSherry
TatumAnna,HemphillBud
TatumAnna,JamesRussell
TatumGrant,GodfreyBrian
TaylorBecky,DalyCelia
TealJames,GunnersonPaul
TealJames,JordanPeter
TerryThomas,GradyCarla
TerryThomas,FarthingRachel
TerryThomas,JordanPeter
ThomasEddie,BrassManuel
ThomasJack,GideonMario
ThomasMarcia,BryantCarol
ThomasReese,McConnellPhyllis
ThomasReese,GormleyAndy
ThomassonLaToya,McCannEddie
ThompsonAndy,ChanningBoris
ThompsonAndy,FaustMeg
ThompsonAndy,GormleyAndy
ThompsonBert,BarkerMarianne
ThompsonTreavor,ChampionWes
ThurmanJohn,DrakeBurton
TillieNigel,GregoryBrant
TiptonJermaine,FraleyLee
TitoBernard,MaddoxThelma
ToddMarilyn,BulwerJames
TooleyDick,GradyRufus
ToomeyBert,HiltonChris
ToomeyBruce,AbelDennis
ToomeyHarry,GunnersonLyndon
ToomeyMartin,MontgomeryDylan
ToomeyMartin,MooreTerry
ToomeyMaurice,ChandlerSusie
TowerMelissa,BerberPhilippe
TraskBenjie,BordersDylan
TravisDavid,GraftonDon
TravusBernie,BlackDarriel
TravusBernie,MorganDon
TravusBernie,BendixJerryLee
TravusBernie,HarrisonAnnie
TrinkausJaimie,MenardJack
TrinkausJaimie,MarshakWayne
TrinkausJaimie,JacksonBrendan
TrotterBarry,LeighCrystal
TrotterBruce,HastingsLynette
TroutBernard,CarlMax
TroutBernard,CarletonBonnie
TroutBernard,MandanGrant
TroutBernard,CarlsonCheryl
TroutBernard,CarlsonSylvester
TroutBernard,CaronMolly
TubmanWillie,AndrewsAlice
TuckerArchie,HumphreyAlex
TuckerPaul,BosticDan
TurnerHenry,HamiltonTerrance
TylerOwen,BlodgettLucas
TylerRachel,AlexanderTrina
ValetRonnell,LaurencePete
ValetRonnell,BryantCarol
VaneseJackie,MorisseyGavin
VaneseJackie,BryantCarol
VestHiroko,BendixMichelle
VestHiroko,BryantCarol
VestIrma,BryantCarol
VestIrwin,MorlandKate
VestIrwin,BryantCarol
VestMiko,BecketAlice
VestMiko,KingMalcolm
VickersLester,FishburnKerry
VickersYolanda,ArcherThora
VilaCarlson,AlleynDylan
VincennesDaisy,MageeGinny
VincennesDaisy,AsherJames
VincentColin,JamesRicardo
VincentKenneth,BenderCarlos
WallabyBrenda,ChanningCarter
WallaceSharon,BrownGladys
WaltersJoe,FieldsWalter
WaltersJoe,ConklinShelley
WaltersJoe,LeeTwon
WaltersJoe,MorrisEvan
WaltersJoe,LakinQuincy
WashingtonCraig,MorrisEvan
WeaverOtis,EvansJay
WeaverPriscilla,EvansJay
WebbMike,CusackJill
WebbPatty,HooperFrieda
WebbPatty,HopkinsBurton
WebsterKen,HooperFrieda
WestRoger,BarrettAntoine
WesterlyKevin,BeckerMax
WethersMorrie,MontgomeryDylan
WethersMorrie,HewittCarl
WethersMorrie,MooreTerry
WethersMorrie,HumphreyJack
WethersMorrie,BernardoBill
WethersMorrie,BilkoAlison
WethersMorrie,BillingsleyTerry
WhartonKelvin,CraigRoger
WhiteAndrew,MosleyWillard
WhiteAngie,MasonWillis
WhiteGeorge,"Mobley,Sr.Lester"
WhiteMort,BulwerJames
WhitesideAlbert,ArmstrongPearl
WhittakerRon,DemarcoWillie
WidenerMelvin,McConnellPhyllis
WilborneEzra,AndrewsSally
WilburDean,BurnsDarian
WilcoxDevon,DalyTim
WilkinsBrenda,HartJared
WilkinsBrenda,GreyCortez
WilkinsBrenda,CheathamMaurice
WilliamsCalvin,GreyCortez
WilliamsRoosevelt,EaganLowell
WilliamsRoosevelt,FlowersSteve
WilliamsRoosevelt,MossEd
WilliamsRoosevelt,BryantCarol
WilliamsRoosevelt,MossSophie
WilliamsSherman,GuntherMatt
WilliamsSherman,BuffetteRachel
WilliamsSherman,BartelsAmy
WilliamsSherman,MoweElwood
WilliamsonBradford,HoldenEric
WillisBryan,ColeHarry
WillisJenny,MastersTom
WillisJenny,McCainMike
WillisJenny,MintonCorey
WillisJenny,MuldoonAlex
WillisJenny,GorhamStella
WillisJenny,MailerLucas
WillisJenny,LivingstonMary
WillisJenny,MillerTommy
WillisJenny,JamesSara
WillisJenny,CarlsonJames
WillisJenny,HendersonSam
WillisJenny,CourtlandGreg
WillisJenny,BartonGermal
WillisJenny,MuldoonJoe
WillisJenny,MullinsMarv
WillisJenny,HayesElla
WillisJenny,MunsonKaty
WillisJenny,MarkessQueenie
WillisJenny,MyersRandy
WillisJenny,MyersRicky
WillisJenny,JeffersonArnold
WillisJenny,MayCharlie
WillisJenny,CheathamMaurice
WillisJenny,JonesHarris
WillisJenny,FensterOscar
WilsonLuke,ChampionWes
WilsonMac,FarthingRachel
WinfreyAlice,LockePamela
WinfreyAlice,ManchesterMark
WinfreyAlice,CramerNancy
WinklerRonald,MarshakDarrell
WittNorma,AndrewsAlice
WolffRodney,GregoryBrant
WolffRodney,MichaelsHector
WoodsBlair,BuffetteRachel
WorthTyrone,DrakeBurton
WriggleyHal,ComptonDennis
WrightAndrew,JamesRussell
YardlyNigel,GliddenStan
YatesAugust,FletcherTom
YorkBrant,GliddenHoppy
ParkerPete,FraleyLee
