Criminal,Crime
HopkinsBurton,Witness
PerryJoe,Victim
ArmandeBrian,Victim
PerryZachariah,Suspect
PetersAdrian,Witness
PetersBarnabas,Witness
PetersHypatia,Victim
ConwaySamantha,Victim
PetersTrish,Suspect
PetersTrish,Victim
MarionJoe,Suspect
PfizerAngela,Suspect
PhillipsPat,Victim
PilotBrenda,Witness
ArmstrongPearl,Witness
PinkertonDaniel,Victim
PintaMimi,Suspect
Pinza Emilio,Witness
DelaneyRoberta,Witness
PiperMary,Suspect
PippinsJeffrey,Victim
GorhamBilly,Victim
PippinsJeffrey,Suspect
MarshakDarrell,Suspect
PitneyRoy,Victim
PittDonna,Witness
ConklinShelley,Witness
PlunkettMary,Victim
PointerGlenn,Suspect
PointerKevin,Suspect
PooleAmbrose,Suspect
PooleRandy,Suspect
PooleRosa,Victim
PorterRoscoe,Suspect
PotterAntonio,Suspect
PottsWesley,Suspect
GleesonMatt,Suspect
PowellAnne,Victim
PowellCyndi,Suspect
PowellGeorge,Victim
PowersAdair,Victim
PowersErnest,Victim
PowersGwen,Victim
PowersKenrick,Witness
PrattJames,Witness
FergusJoe,Witness
PryceAbraham,Suspect
PurcellGreg,Victim
CarpenterLonnie,Victim
PurlGreg,Witness
MarshakRuby,Witness
PushkinJudy,Victim
PyleOmar,Suspect
MarshakWayne,Suspect
QuaidRyan,Victim
QuailRodney,Suspect
QuillGraham,Suspect
MartinAlan,Suspect
QuincyMike,Witness
QuinnRodney,Victim
DanielsRandy,Victim
RamseyBob,Suspect
RandallWilliam,Victim
ReddickJohn,Victim Suspect
BlodgettLucas,Victim Suspect
ReedKelvin,Victim
CooperAndrew,Victim
ReeseBelinda,Witness
CooperAndrew,Witness
ReeseBelinda,Victim
RennerCarl,Witness
MartinGeorge,Witness
RennerLynette,Suspect
MartinJerry,Suspect
ResnickFelix,Suspect
GodfreyRhonda,Suspect
RevelleErskine,Victim
RhodesGarrett,Victim
RichardsAidan,Victim
Richardson Jr.Luke,Suspect
BrownReggie,Suspect
RiddleyEric,Suspect
MartinezAngel,Suspect
MasonAmanda,Suspect
RiddleyEric,Victim
MartinGeorge,Victim
KetterPercy,Victim
RobbinsKevin,Suspect
RobbinsTom,Suspect
RobbinsTorey,Witness
IvieCaldwell,Witness
RobertsAntoine,Suspect
RobertsBuddy,Victim
RobertsJason,Suspect
RodriquezSantos,Suspect
RogersKaren,Suspect
RogersKerry,Victim
RooseveltDre,Witness
GilliganRandy,Witness
RooseveltDre,Victim
RosenHenry,Victim Suspect
RoushLeyla,Suspect
RunyonPaul,Suspect
RussellErin,Witness
LaneBecky,Witness
RussellGreg,Victim
RyanLesley,Victim
SamuelLyle,Victim
CarterCalvin,Victim
CarterFreddie,Victim
CarterRuby,Victim
SamuelLyle,Witness
SandersonAmy,Suspect
SandersonKatie,Witness
SandersonMark,Victim
MastersHelen,Victim
SandersonMark,Suspect
SandersonStuart,Victim
SandersonStuart,Witness
SargentDaniel,Victim
McCainMike,Victim
HendersonGary,Victim
SaxeGina,Witness
SchmitzStella,Suspect
ScottDonal,Victim
ScottJefrey,Witness
SellersDoris,Witness
SharifLetitia,Suspect
ShawAmanda,Suspect
ShawMable,Suspect
ShawMelissa,Suspect
ShermanAmos,Suspect
ShermanDarwin,Suspect
BookCharles,Suspect
ShermanThaddeus,Witness
GrantHarry,Witness
ShermanThaddeus,Victim
JacksonBrendan,Victim
SherrodHarry,Suspect
ShipleyCarol,Witness
SilversKerry,Witness
BrillKevin,Witness
SimmsPorter,Witness
SimmsPorter,Victim
SimmsPorter,Suspect
ChanningBoris,Suspect
FaustMeg,Suspect
SimpkinsBrenda,Victim
SimpkinsBrenda,Suspect
GliddenDiana,Suspect
SimpsonAdella,Victim
SimpsonBart,Suspect
SimpsonCarolyn,Victim
SimpsonPetey,Suspect
SinclairJanice,Witness
SinclairJanice,Suspect
SinclairMarjorie,Witness
SinclairMartin,Witness
SlatteryKelvin,Suspect
SlatteryMaurice,Suspect
MenardJack,Suspect
SlatteryMaurice,Victim
HarteNicki,Suspect
MerrickCarter,Suspect
CottonJo,Suspect
MichaelsHector,Suspect
CheathamMaurice,Suspect
SmallPercy,Suspect
HolmesMort,Suspect
SmithAnthony,Victim
ManheimMiller,Victim
MichaelsLisa,Victim
SmithArthur,Suspect
BrillEzekial,Suspect
SmithJanice,Victim
SmithMichaelThomas,Suspect
SmithMichaelThomas,Victim
HoltEddie,Victim
MillerBradford,Suspect
SmithMichaelThomas,Witness
MillerJeff,Suspect
SmithVictoria,Suspect
MillerMilo,Suspect
HenryJoseph,Suspect
SmithVictoria,Victim
MillerWynton,Victim
Miller Reuben,Victim
SmothersFreddie,Victim
SnyderBill,Victim
SnyderJoanie,Victim
SorrellKeith,Suspect
DwyerBart,Suspect
SpeckVictoria,Victim
SpencerSeth,Victim
MinionMaggie,Victim
SpinnerJudy,Witness
HerbertJason,Witness
SpitzLouis,Suspect
SpragueShirley,Victim
SpringerWilliam,Suspect
MitchellGabrielle,Suspect
SprintMelody,Victim Suspect
SquiresJames,Suspect
SquiresJanet,Suspect
SquiresMark,Suspect
StackBarbara,Suspect
StanleyMaurice,Victim Suspect
SteeleKurt,Witness
CanelliTony,Witness
SteeleRaymond,Witness
SteinerCatherine,Suspect
MailerMary,Suspect
BuschAndrew,Suspect
SteinerCatherine,Witness
StepneyGladys,Victim
StevensRico,Suspect
StevensonChanda,Witness
MandanGrant,Witness
StevensonMike,Victim
StevensonMike,Suspect
StewartRob,Suspect
StithBrendon,Victim
StithCarlton,Victim Suspect
StithDerrick,Victim
MitchellGabrielle,Victim
FrostAlice,Victim
StockardSue,Suspect
StoneRobert,Suspect
StoneSylvia,Victim
StuartGrady,Witness
HopkinsJody,Witness
SuffolkNicole,Suspect
GreenMason,Suspect
SummersLana,Victim
SummersLana,Suspect
MobleySr.Lester,Suspect
CollinsAdrienne,Suspect
SummersWade,Victim
SwiftMaurice,Victim
TandyAmos,Witness
HooperFrieda,Witness
TateCarol,Victim
TateRoger,Suspect
DicksonCatherine,Suspect
TattersallAngeline,Suspect
TatumAnna,Victim
TatumAnna,Victim Suspect
TatumGrant,Suspect
GodfreyBrian,Suspect
TaylorBecky,Suspect
DalyCelia,Suspect
TealJames,Victim
TealJames,Witness
JordanPeter,Witness
TerryThomas,Victim Suspect
TerryThomas,Suspect
TerryThomas,Witness
ThomasEddie,Victim
ThomasJack,Suspect
ThomasMarcia,Witness
ThomasReese,Victim
ThomassonLaToya,Suspect
ThompsonAndy,Victim
FaustMeg,Victim
ThompsonAndy,Suspect
ThompsonBert,Suspect
BarkerMarianne,Suspect
ThompsonTreavor,Victim
ThurmanJohn,Witness
DrakeBurton,Witness
TillieNigel,Victim Suspect
GregoryBrant,Victim Suspect
TiptonJermaine,Witness
TitoBernard,Victim
ToddMarilyn,Suspect
TooleyDick,Victim
ToomeyBert,Victim
ToomeyBruce,Suspect
ToomeyHarry,Suspect
ToomeyMartin,Victim
MooreTerry,Victim
ToomeyMaurice,Victim
TowerMelissa,Suspect
TraskBenjie,Victim Suspect
TravisDavid,Victim
TravusBernie,Suspect
TravusBernie,Victim
TrinkausJaimie,Victim
TrotterBarry,Suspect
TrotterBruce,Suspect
TroutBernard,Suspect
CarlsonCheryl,Suspect
CarlsonSylvester,Suspect
TubmanWillie,Suspect
TuckerArchie,Victim
TuckerPaul,Suspect
TurnerHenry,Victim
TylerOwen,Victim
BlodgettLucas,Victim
TylerRachel,Suspect
ValetRonnell,Victim
ValetRonnell,Witness
VaneseJackie,Victim
MorisseyGavin,Victim
VaneseJackie,Witness
VestHiroko,Suspect
VestHiroko,Witness
VestIrma,Witness
VestIrwin,Victim
MorlandKate,Victim
VestIrwin,Witness
VestMiko,Victim
VestMiko,Victim Suspect
VickersLester,Suspect
VickersYolanda,Witness
VilaCarlson,Victim
VincennesDaisy,Victim
VincentColin,Suspect
VincentKenneth,Victim
WallabyBrenda,Suspect
WallaceSharon,Victim
WaltersJoe,Witness
FieldsWalter,Witness
WaltersJoe,Suspect
WaltersJoe,Victim
WashingtonCraig,Suspect
MorrisEvan,Suspect
WeaverOtis,Victim
WeaverPriscilla,Victim
WebbMike,Witness
CusackJill,Witness
WebbPatty,Witness
WebsterKen,Victim
WestRoger,Suspect
WesterlyKevin,Victim
WethersMorrie,Suspect
WethersMorrie,Victim
HumphreyJack,Victim
BernardoBill,Victim
WhartonKelvin,Suspect
WhiteAndrew,Victim
MosleyWillard,Victim
WhiteAngie,Suspect
MasonWillis,Suspect
WhiteGeorge,Victim
MobleySr.Lester,Victim
WhiteMort,Suspect
WhitesideAlbert,Victim
WhittakerRon,Witness
WidenerMelvin,Victim
WilborneEzra,Suspect
WilburDean,Suspect
WilcoxDevon,Witness
WilkinsBrenda,Suspect
WilliamsCalvin,Witness
WilliamsRoosevelt,Suspect
WilliamsRoosevelt,Witness
WilliamsSherman,Victim
WilliamsSherman,Suspect
MoweElwood,Victim
WilliamsonBradford,Victim
HoldenEric,Victim
WillisBryan,Suspect
WillisJenny,Suspect
MastersTom,Suspect
MintonCorey,Suspect
MailerLucas,Suspect
WillisJenny,Victim
MillerTommy,Victim
JamesSara,Suspect
CarlsonJames,Suspect
MuldoonJoe,Suspect
MullinsMarv,Suspect
MarkessQueenie,Suspect
MayCharlie,Suspect
WilsonLuke,Victim
WilsonMac,Witness
WinfreyAlice,Victim Suspect
WinfreyAlice,Victim
WinklerRonald,Suspect
WittNorma,Suspect
WolffRodney,Victim Suspect
WolffRodney,Victim
MichaelsHector,Victim
WoodsBlair,Suspect
WorthTyrone,Witness
WriggleyHal,Victim
ComptonDennis,Victim
WrightAndrew,Suspect
JamesRussell,Suspect
YardlyNigel,Suspect
YatesAugust,Suspect
YorkBrant,Victim
ParkerPete,Witness
